ID,Município,Código IBGE
237,Santo Amaro da Imperatriz,4215703
238,São Bento do Sul,4215802
239,São Bernardino,4215752
240,São Bonifácio,4215901
241,São Carlos,4216008
242,São Cristóvão do Sul,4216057
243,São Domingos,4216107
244,São Francisco do Sul,4216206
245,São João Batista,4216305
246,São João do Itaperiú,4216354
247,São João do Oeste,4216255
248,São João do Sul,4216404
249,São Joaquim,4216503
250,São José,4216602
251,São José do Cedro,4216701
252,São José do Cerrito,4216800
253,São Lourenço do Oeste,4216909
254,São Ludgero,4217006
255,São Martinho,4217105
256,São Miguel da Boa Vista,4217154
257,São Miguel do Oeste,4217204
258,São Pedro de Alcântara,4217253
259,Saudades,4217303
260,Schroeder,4217402
261,Seara,4217501
262,Serra Alta,4217550
263,Siderópolis,4217600
264,Sombrio,4217709
265,Sul Brasil,4217758
266,Taió,4217808
267,Tangará,4217907
268,Tigrinhos,4217956
269,Tijucas,4218004
270,Timbé do Sul,4218103
271,Timbó,4218202
272,Timbó Grande,4218251
273,Três Barras,4218301
274,Treviso,4218350
275,Treze de Maio,4218400
276,Treze Tílias,4218509
277,Trombudo Central,4218608
278,Tubarão,4218707
279,Tunápolis,4218756
280,Turvo,4218806
281,União do Oeste,4218855
282,Urubici,4218905
283,Urupema,4218954
284,Urussanga,4219002
285,Vargeão,4219101
286,Vargem,4219150
287,Vargem Bonita,4219176
288,Vidal Ramos,4219200
289,Videira,4219309
290,Vitor Meireles,4219358
291,Witmarsum,4219408
292,Xanxerê,4219507
293,Xavantina,4219606
294,Xaxim,4219705
295,Zortéa,4219853
