sk_municipio,nm_municipio,nm_pais,nm_estado,nm_uf,longitude,latitude
162,Meleiro,Brasil,Santa Catarina,SC,"-49,62984936","-28,83244582"
163,Mirim Doce,Brasil,Santa Catarina,SC,"-50,06856371","-27,2012051"
164,Modelo,Brasil,Santa Catarina,SC,"-53,0535008","-26,77804208"
165,Mondaí,Brasil,Santa Catarina,SC,"-53,39868403","-27,10361169"
166,Monte Carlo,Brasil,Santa Catarina,SC,"-50,97410468","-27,2176788"
167,Monte Castelo,Brasil,Santa Catarina,SC,"-50,22627143","-26,4563625"
168,Morro da Fumaça,Brasil,Santa Catarina,SC,"-49,21325651","-28,65478784"
169,Morro Grande,Brasil,Santa Catarina,SC,"-49,71879998","-28,7997195"
170,Navegantes,Brasil,Santa Catarina,SC,"-48,6491829","-26,89743912"
171,Nova Veneza,Brasil,Santa Catarina,SC,"-49,50312358","-28,6382326"
172,Nova Erechim,Brasil,Santa Catarina,SC,"-52,91128667","-26,9012734"
173,Nova Itaberaba,Brasil,Santa Catarina,SC,"-52,81124405","-26,94288988"
174,Nova Trento,Brasil,Santa Catarina,SC,"-48,92579543","-27,28777117"
175,Novo Horizonte,Brasil,Santa Catarina,SC,"-52,83403339","-26,44617199"
176,Orleans,Brasil,Santa Catarina,SC,"-49,29142629","-28,36046897"
177,Otacílio Costa,Brasil,Santa Catarina,SC,"-50,11231469","-27,50384618"
178,Ouro,Brasil,Santa Catarina,SC,"-51,62056218","-27,34248817"
179,Paial,Brasil,Santa Catarina,SC,"-52,50108875","-27,2551578"
180,Painel,Brasil,Santa Catarina,SC,"-50,11300974","-27,9145182"
181,Palhoça,Brasil,Santa Catarina,SC,"-48,67028792","-27,64704368"
182,Palma Sola,Brasil,Santa Catarina,SC,"-53,27997725","-26,34650813"
183,Palmeira,Brasil,Santa Catarina,SC,"-50,15900141","-27,58226207"
184,Palmitos,Brasil,Santa Catarina,SC,"-53,16226729","-27,07025055"
185,Papanduva,Brasil,Santa Catarina,SC,"-50,1632042","-26,39398307"
186,Paraíso,Brasil,Santa Catarina,SC,"-53,67531413","-26,61526297"
187,Passo de Torres,Brasil,Santa Catarina,SC,"-49,72514527","-29,3234599"
188,Passos Maia,Brasil,Santa Catarina,SC,"-52,0617238","-26,7808891"
189,Paulo Lopes,Brasil,Santa Catarina,SC,"-48,68149541","-27,9498162"
190,Pedras Grandes,Brasil,Santa Catarina,SC,"-49,18648755","-28,43721765"
191,Penha,Brasil,Santa Catarina,SC,"-48,64757291","-26,76886109"
192,Peritiba,Brasil,Santa Catarina,SC,"-51,90981467","-27,37730928"
193,Pescaria Brava,Brasil,Santa Catarina,SC,"-48,895556","-28,424722"
194,Petrolândia,Brasil,Santa Catarina,SC,"-49,69486862","-27,52812683"
195,Pinhalzinho,Brasil,Santa Catarina,SC,"-52,98225325","-26,84881433"
196,Pinheiro Preto,Brasil,Santa Catarina,SC,"-51,23053648","-27,04513462"
197,Piratuba,Brasil,Santa Catarina,SC,"-51,75864983","-27,41595355"
198,Planalto Alegre,Brasil,Santa Catarina,SC,"-52,86735203","-27,0694598"
199,Pomerode,Brasil,Santa Catarina,SC,"-49,17419753","-26,7448264"
200,Ponte Alta,Brasil,Santa Catarina,SC,"-50,37710065","-27,4677841"
201,Ponte Alta do Norte,Brasil,Santa Catarina,SC,"-50,46540427","-27,1690292"
202,Ponte Serrada,Brasil,Santa Catarina,SC,"-52,01453751","-26,8749128"
203,Porto Belo,Brasil,Santa Catarina,SC,"-48,60275674","-27,14946621"
204,Porto União,Brasil,Santa Catarina,SC,"-51,08160463","-26,2300049"
205,Pouso Redondo,Brasil,Santa Catarina,SC,"-49,95565214","-27,25108628"
206,Praia Grande,Brasil,Santa Catarina,SC,"-49,96059198","-29,1957764"
207,Presidente Getúlio,Brasil,Santa Catarina,SC,"-49,62208617","-27,04140824"
208,Presidente Castello Branco,Brasil,Santa Catarina,SC,"-51,81137554","-27,2199422"
209,Presidente Nereu,Brasil,Santa Catarina,SC,"-49,40329277","-27,2873292"
210,Princesa,Brasil,Santa Catarina,SC,"-53,59810588","-26,44433521"
211,Quilombo,Brasil,Santa Catarina,SC,"-52,72760957","-26,74005555"
212,Rancho Queimado,Brasil,Santa Catarina,SC,"-49,00843238","-27,67720886"
213,Rio das Antas,Brasil,Santa Catarina,SC,"-51,07601994","-26,89706744"
214,Rio do Campo,Brasil,Santa Catarina,SC,"-50,13958891","-26,94230843"
215,Rio do Oeste,Brasil,Santa Catarina,SC,"-49,80286222","-27,19116652"
216,Rio do Sul,Brasil,Santa Catarina,SC,"-49,64323753","-27,21790323"
217,Rio dos Cedros,Brasil,Santa Catarina,SC,"-49,27237944","-26,74912982"
218,Rio Fortuna,Brasil,Santa Catarina,SC,"-49,1050938","-28,13259139"
219,Rio Negrinho,Brasil,Santa Catarina,SC,"-49,51729508","-26,25532503"
220,Rio Rufino,Brasil,Santa Catarina,SC,"-49,7775918","-27,8632355"
221,Riqueza,Brasil,Santa Catarina,SC,"-53,32528621","-27,0675942"
222,Rodeio,Brasil,Santa Catarina,SC,"-49,30470723","-26,94350167"
223,Romelândia,Brasil,Santa Catarina,SC,"-53,3201584","-26,67946356"
224,Salete,Brasil,Santa Catarina,SC,"-50,00173073","-26,97524433"
225,Saltinho,Brasil,Santa Catarina,SC,"-53,05863125","-26,6085589"
226,Salto Veloso,Brasil,Santa Catarina,SC,"-51,40520808","-26,90316461"
227,Sangão,Brasil,Santa Catarina,SC,"-49,13402986","-28,63322292"
228,Santa Cecília,Brasil,Santa Catarina,SC,"-50,42290162","-26,95690074"
229,Santa Helena,Brasil,Santa Catarina,SC,"-53,61998787","-26,93984392"
230,Santa Rosa de Lima,Brasil,Santa Catarina,SC,"-49,1250913","-28,0356056"
231,Santa Rosa do Sul,Brasil,Santa Catarina,SC,"-49,71762637","-29,13528822"
232,Santa Terezinha,Brasil,Santa Catarina,SC,"-50,00552919","-26,7809824"
233,Santa Terezinha do Progresso,Brasil,Santa Catarina,SC,"-53,19984696","-26,6197756"
234,Santiago do Sul,Brasil,Santa Catarina,SC,"-52,67594948","-26,6348091"
235,Santo Amaro da Imperatriz,Brasil,Santa Catarina,SC,"-48,78023992","-27,68974776"
236,São Bento do Sul,Brasil,Santa Catarina,SC,"-49,3869789","-26,24948542"
