cd_ibge,wiki
4205555,https://pt.wikipedia.org/wiki/Frei_Rog%C3%A9rio
4205605,https://pt.wikipedia.org/wiki/Galv%C3%A3o_(Santa_Catarina)
4205704,https://pt.wikipedia.org/wiki/Garopaba
4205803,https://pt.wikipedia.org/wiki/Garuva
4205902,https://pt.wikipedia.org/wiki/Gaspar
4206009,https://pt.wikipedia.org/wiki/Governador_Celso_Ramos
4206108,https://pt.wikipedia.org/wiki/Gr%C3%A3o-Par%C3%A1_(Santa_Catarina)
4206207,https://pt.wikipedia.org/wiki/Gravatal
4206306,https://pt.wikipedia.org/wiki/Guabiruba
4206405,https://pt.wikipedia.org/wiki/Guaraciaba_(Santa_Catarina)
4206504,https://pt.wikipedia.org/wiki/Guaramirim
4206603,https://pt.wikipedia.org/wiki/Guaruj%C3%A1_do_Sul
4206652,https://pt.wikipedia.org/wiki/Guatambu
4206702,https://pt.wikipedia.org/wiki/Herval_d%27Oeste
4206751,https://pt.wikipedia.org/wiki/Ibiam
4206801,https://pt.wikipedia.org/wiki/Ibicar%C3%A9
4206900,https://pt.wikipedia.org/wiki/Ibirama
4207007,https://pt.wikipedia.org/wiki/I%C3%A7ara
4207106,https://pt.wikipedia.org/wiki/Ilhota
4207205,https://pt.wikipedia.org/wiki/Imaru%C3%AD
4207304,https://pt.wikipedia.org/wiki/Imbituba
4207403,https://pt.wikipedia.org/wiki/Imbuia_(Santa_Catarina)
4207502,https://pt.wikipedia.org/wiki/Indaial
4207577,https://pt.wikipedia.org/wiki/Iomer%C3%AA
4207601,https://pt.wikipedia.org/wiki/Ipira
4207650,https://pt.wikipedia.org/wiki/Ipor%C3%A3_do_Oeste
4207684,https://pt.wikipedia.org/wiki/Ipua%C3%A7u
4207700,https://pt.wikipedia.org/wiki/Ipumirim
4207759,https://pt.wikipedia.org/wiki/Iraceminha
4207809,https://pt.wikipedia.org/wiki/Irani
4207858,https://pt.wikipedia.org/wiki/Irati_(Santa_Catarina)
4207908,https://pt.wikipedia.org/wiki/Irine%C3%B3polis
