sk_municipio,nm_municipio,nm_pais,nm_estado,nm_uf,longitude,latitude,cd_ibge,Match_Type_IBGE,Match_Score_IBGE
62,Capivari de Baixo,Brasil,Santa Catarina,SC,"-48,96057507","-28,44904551",4203956,Exact,100
63,Catanduvas,Brasil,Santa Catarina,SC,"-51,6589481","-27,07203522",4204004,Exact,100
64,Caxambu do Sul,Brasil,Santa Catarina,SC,"-52,88047489","-27,16128178",4204103,Exact,100
65,Celso Ramos,Brasil,Santa Catarina,SC,"-51,33599382","-27,6347386",4204152,Exact,100
66,Cerro Negro,Brasil,Santa Catarina,SC,"-50,87006226","-27,7958281",4204178,Exact,100
67,Chapadão do Lageado,Brasil,Santa Catarina,SC,"-49,54432595","-27,5852983",4204194,Exact,100
68,Chapecó,Brasil,Santa Catarina,SC,"-52,61703111","-27,10683702",4204202,Exact,100
69,Cocal do Sul,Brasil,Santa Catarina,SC,"-49,32712872","-28,60302287",4204251,Exact,100
70,Concórdia,Brasil,Santa Catarina,SC,"-52,02397107","-27,23365878",4204301,Exact,100
71,Cordilheira Alta,Brasil,Santa Catarina,SC,"-52,60325127","-26,98508129",4204350,Exact,100
72,Coronel Freitas,Brasil,Santa Catarina,SC,"-52,70915146","-26,90325141",4204400,Exact,100
73,Coronel Martins,Brasil,Santa Catarina,SC,"-52,66969929","-26,5116376",4204459,Exact,100
74,Correia Pinto,Brasil,Santa Catarina,SC,"-50,36376055","-27,58480834",4204558,Exact,100
75,Corupá,Brasil,Santa Catarina,SC,"-49,226737","-26,43196632",4204509,Exact,100
76,Criciúma,Brasil,Santa Catarina,SC,"-49,36593956","-28,67357225",4204608,Exact,100
77,Cunha Porã,Brasil,Santa Catarina,SC,"-53,17384557","-26,89172708",4204707,Exact,100
78,Cunhataí,Brasil,Santa Catarina,SC,"-53,09329049","-26,9731397",4204756,Exact,100
79,Curitibanos,Brasil,Santa Catarina,SC,"-50,58260104","-27,28298251",4204806,Exact,100
80,Descanso,Brasil,Santa Catarina,SC,"-53,50462887","-26,81787022",4204905,Exact,100
81,Dionísio Cerqueira,Brasil,Santa Catarina,SC,"-53,63139512","-26,26648853",4205001,Exact,100
82,Dona Emma,Brasil,Santa Catarina,SC,"-49,71689775","-26,98630061",4205100,Exact,100
83,Doutor Pedrinho,Brasil,Santa Catarina,SC,"-49,47929336","-26,720461",4205159,Exact,100
84,Entre Rios,Brasil,Santa Catarina,SC,"-52,56253397","-26,7236211",4205175,Exact,100
85,Ermo,Brasil,Santa Catarina,SC,"-49,64340498","-28,9850818",4205191,Exact,100
86,Erval Velho,Brasil,Santa Catarina,SC,"-51,4434329","-27,27389548",4205209,Exact,100
87,Faxinal dos Guedes,Brasil,Santa Catarina,SC,"-52,2714154","-26,85978672",4205308,Exact,100
88,Flor do Sertão,Brasil,Santa Catarina,SC,"-53,34489144","-26,77943233",4205357,Exact,100
89,Florianópolis,Brasil,Santa Catarina,SC,"-48,54763738","-27,58779555",4205407,Exact,100
90,Formosa do Sul,Brasil,Santa Catarina,SC,"-52,79345003","-26,6485234",4205431,Exact,100
91,Forquilhinha,Brasil,Santa Catarina,SC,"-49,46886105","-28,74241535",4205456,Exact,100
92,Fraiburgo,Brasil,Santa Catarina,SC,"-50,92507924","-27,02344696",4205506,Exact,100
93,Frei Rogério,Brasil,Santa Catarina,SC,"-50,80640825","-27,1747515",4205555,Exact,100
94,Galvão,Brasil,Santa Catarina,SC,"-52,68200208","-26,4554762",4205605,Exact,100
95,Garopaba,Brasil,Santa Catarina,SC,"-48,61255668","-28,02089593",4205704,Exact,100
96,Garuva,Brasil,Santa Catarina,SC,"-48,84984186","-26,02207551",4205803,Exact,100
97,Gaspar,Brasil,Santa Catarina,SC,"-48,96770657","-26,91836851",4205902,Exact,100
98,Governador Celso Ramos,Brasil,Santa Catarina,SC,"-48,57816656","-27,31864591",4206009,Exact,100
99,Grão Pará,Brasil,Santa Catarina,SC,"-49,21999604","-28,18398653",4206108,Exact,100
100,Gravatal,Brasil,Santa Catarina,SC,"-49,03947026","-28,32913072",4206207,Exact,100
101,Guabiruba,Brasil,Santa Catarina,SC,"-48,98356045","-27,06032524",4206306,Exact,100
102,Guaraciaba,Brasil,Santa Catarina,SC,"-53,52208972","-26,60034757",4206405,Exact,100
103,Guaramirim,Brasil,Santa Catarina,SC,"-48,99210427","-26,47444513",4206504,Exact,100
104,Guarujá do Sul,Brasil,Santa Catarina,SC,"-53,52544511","-26,3849206",4206603,Exact,100
105,Guatambú,Brasil,Santa Catarina,SC,"-52,78384013","-27,13691087",4206652,Exact,100
106,HERVAL D OESTE,Brasil,Santa Catarina,SC,"-51,49621531","-27,17030318",4206702,Fuzzy,100
107,Ibiam,Brasil,Santa Catarina,SC,"-51,2394277","-27,18058348",4206751,Exact,100
108,Ibicaré,Brasil,Santa Catarina,SC,"-51,36845026","-27,09154902",4206801,Exact,100
109,Ibirama,Brasil,Santa Catarina,SC,"-49,52202776","-27,05354088",4206900,Exact,100
110,Içara,Brasil,Santa Catarina,SC,"-49,30082258","-28,70708401",4207007,Exact,100
111,Ilhota,Brasil,Santa Catarina,SC,"-48,82501401","-26,90462518",4207106,Exact,100
112,Imaruí,Brasil,Santa Catarina,SC,"-48,81467172","-28,3438499",4207205,Exact,100
113,Imbituba,Brasil,Santa Catarina,SC,"-48,6692842","-28,23995111",4207304,Exact,100
