sk_municipio,nm_municipio,nm_pais,nm_estado,nm_uf,longitude,latitude,cd_ibge,Match_Type_IBGE,Match_Score_IBGE
270,Timbó Grande,Brasil,Santa Catarina,SC,"-50,67467414","-26,61782849",4218251,Exact,100
271,Três Barras,Brasil,Santa Catarina,SC,"-50,30541937","-26,11409634",4218301,Exact,100
272,Treviso,Brasil,Santa Catarina,SC,"-49,45593338","-28,51848486",4218350,Exact,100
273,Treze de Maio,Brasil,Santa Catarina,SC,"-49,14481531","-28,55814004",4218400,Exact,100
274,Treze Tílias,Brasil,Santa Catarina,SC,"-51,41467467","-26,99853631",4218509,Exact,100
275,Trombudo Central,Brasil,Santa Catarina,SC,"-49,79247823","-27,30301953",4218608,Exact,100
276,Tubarão,Brasil,Santa Catarina,SC,"-49,00526808","-28,48003395",4218707,Exact,100
277,Tunápolis,Brasil,Santa Catarina,SC,"-53,64145974","-26,97222359",4218756,Exact,100
278,Turvo,Brasil,Santa Catarina,SC,"-49,68086575","-28,9247492",4218806,Exact,100
279,União do Oeste,Brasil,Santa Catarina,SC,"-52,85149646","-26,761737",4218855,Exact,100
280,Urubici,Brasil,Santa Catarina,SC,"-49,58820561","-28,0045549",4218905,Exact,100
281,Urupema,Brasil,Santa Catarina,SC,"-49,87321124","-27,9526858",4218954,Exact,100
282,Urussanga,Brasil,Santa Catarina,SC,"-49,31910792","-28,5199662",4219002,Exact,100
283,Vargeão,Brasil,Santa Catarina,SC,"-52,15410565","-26,86398332",4219101,Exact,100
284,Vargem,Brasil,Santa Catarina,SC,"-50,97815063","-27,4899701",4219150,Exact,100
285,Vargem Bonita,Brasil,Santa Catarina,SC,"-51,74474018","-27,0032416",4219176,Exact,100
286,Vidal Ramos,Brasil,Santa Catarina,SC,"-49,36821917","-27,3957787",4219200,Exact,100
287,Videira,Brasil,Santa Catarina,SC,"-51,15170528","-27,00612907",4219309,Exact,100
288,Vitor Meireles,Brasil,Santa Catarina,SC,"-49,83075196","-26,8815776",4219358,Exact,100
289,Witmarsum,Brasil,Santa Catarina,SC,"-49,80420338","-26,9267427",4219408,Exact,100
290,Xanxerê,Brasil,Santa Catarina,SC,"-52,40466714","-26,8745845",4219507,Exact,100
291,Xavantina,Brasil,Santa Catarina,SC,"-52,34285051","-27,07025015",4219606,Exact,100
292,Xaxim,Brasil,Santa Catarina,SC,"-52,53493252","-26,9637195",4219705,Exact,100
293,Zortéa,Brasil,Santa Catarina,SC,"-51,54956631","-27,45025141",4219853,Exact,100
294,Belmonte,Brasil,Santa Catarina,SC,"-53,5767","-26,8431",4202156,Exact,100
295,Ouro Verde,Brasil,Santa Catarina,SC,"-52,3092","-26,6953",4211850,Exact,100
